fund_short_name,fund_name,register_number,price_type,tag,strategy
博孚利涌金1号,博孚利涌金1号私募证券投资基金,SXN442,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
蒙玺中证1000指数量化3号B类,蒙玺中证1000指数量化3号私募证券投资基金B类份额,XE642B,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '1000指增,量价,高频'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': '高频,量价'}}"
安值盈玖量化3号,安值盈玖量化3号私募证券投资基金,SXQ849,2,{'company': None},"{'company': {'strategy_one': '套利策略', 'strategy_two': '可转债套利', 'strategy_three': '融券对冲'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
博孚利恒跃1号,博孚利恒跃1号私募证券投资基金,SXN895,2,{'company': ['交易型产品']},"{'company': {'strategy_one': '多资产策略', 'strategy_two': 'FOF', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利善家慈善组织1号,博孚利善家慈善组织1号私募证券投资基金,SXQ623,2,{'company': ['低波FOF']},"{'company': {'strategy_one': '多资产策略', 'strategy_two': 'FOF', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
守朴进取3号A类,守朴进取3号私募证券投资基金A类,QJ067A,2,{'company': ['低波']},"{'company': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': '城投债'}, 'platform': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': '城投债'}}"
图斯谷雨,图斯谷雨私募证券投资基金,SXN828,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '可转债多头', 'strategy_three': ''}}"
全集登峰3号,全集登峰3号私募证券投资基金,SXM619,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
朗海灵活对冲一号,朗海灵活对冲一号私募证券投资基金,SXL398,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '手工T0'}}"
龙帆普瑞一号,龙帆普瑞一号私募证券投资基金,SXQ456,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': ''}}"
康诺天臣严选,康诺天臣严选私募证券投资基金,SXP125,2,{'company': ['高波']},"{'company': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': '红利'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': '红利型'}}"
兰盈量化多头1号,兰盈量化多头1号私募证券投资基金,SXN280,2,{'company': ['高波']},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '500指增,量价,中频'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '500指增', 'strategy_three': ''}}"
淳德行稳致远,淳德行稳致远私募证券投资基金,SXM695,2,{'company': ['中波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '农产'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '农产'}}"
朗海多策略进取一号,朗海多策略进取一号私募证券投资基金,SXL397,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '手工T0'}}"
兰盈金期1号,兰盈金期1号私募证券投资基金,SXN279,2,{'company': None},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '商品波动率'}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '中性波动率交易'}}"
托特春晓中证1000指数增强2号,托特春晓中证1000指数增强2号私募证券投资基金,SXE071,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '1000指增,量价,中频'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': '中频,量价'}}"
博孚利祥泰2号,博孚利祥泰2号私募证券投资基金,SXN441,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享63号,博孚利尊享63号私募证券投资基金,SXN443,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
常行11号,常行11号私募证券投资基金,SXK626,2,{'company': None},"{'company': {'strategy_one': '套利策略', 'strategy_two': '期货套利', 'strategy_three': '跨品种套利,股指套利'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': ''}}"
陶山跃迁1号,陶山跃迁1号私募证券投资基金,SXH466,2,{'company': ['高波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '截面,中高频'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '截面,中高频'}}"
中柏立秋,中柏立秋私募证券投资基金,SXK797,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '黑色,能化'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '黑色,能化'}}"
博孚利祥泰1号,博孚利祥泰1号私募证券投资基金,SXN265,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利丰沃6号,博孚利丰沃6号私募证券投资基金,SXP839,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
兰盈量化CTA1号B类,兰盈量化CTA1号私募证券投资基金B类份额,XN204B,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '时序,中高频,机器学习'}}"
兰盈量化多头2号B类,兰盈量化多头2号私募证券投资基金B类份额,XN210B,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
兰盈量化多头2号,兰盈量化多头2号私募证券投资基金,SXN210,2,{'company': ['高波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '股指'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': ''}}"
兰盈量化CTA1号,兰盈量化CTA1号私募证券投资基金,SXN204,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合,机器学习,中高频'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '时序,中高频,机器学习'}}"
全集非凡6号,全集非凡6号私募证券投资基金,SXL934,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
合骥中证1000指数对冲A期,合骥中证1000指数对冲A期私募证券投资基金,SXN146,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': ''}}"
恬昱ETF多空灵动4号,恬昱ETF多空灵动4号私募证券投资基金,SXK182,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '300指增', 'strategy_three': ''}}"
量魁期权量化一号,量魁期权量化一号私募证券投资基金,SSD319,2,{'company': ['中波']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '商品波动率'}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '中性波动率交易'}}"
黑玺驰恒3号,黑玺驰恒3号私募证券投资基金,SXD910,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '基金套利', 'strategy_three': ''}}"
博孚利华恩1号,博孚利华恩1号私募证券投资基金,SXP387,2,{'company': ['定制型FOF']},"{'company': {'strategy_one': '多资产策略', 'strategy_two': 'FOF', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
具力稳健56号,具力稳健56号私募证券投资基金,SXM383,2,{'company': ['中波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '农产'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '农产'}}"
嘉策百煅三号,嘉策百煅三号私募证券投资基金,SXK790,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
数为道策套利八号,数为道策套利八号私募证券投资基金,SVG601,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '基金套利', 'strategy_three': 'ETF套利'}}"
守朴进取3号,守朴进取3号私募证券投资基金,SQJ067,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': ''}}"
臻瓴致远价值1号,臻瓴致远价值1号私募证券投资基金,SXM609,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票多空', 'strategy_three': ''}}"
全集非凡1号,全集非凡1号私募证券投资基金,SXH011,2,{'company': ['低波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
复途神舟一号,复途神舟一号私募证券投资基金,SXL292,2,{'company': None},"{'company': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': ''}, 'platform': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': ''}}"
巨量均衡量化对冲星曜2022,巨量均衡量化对冲星曜2022私募证券投资基金,SXK733,2,{'company': ['中波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '500中性,基本面,低频'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '低频,基本面,500中性'}}"
外贸信托-晋享7号结构化证券投资,外贸信托-晋享7号结构化证券投资集合资金信托计划,ZXD33Z202208010045725,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利涌金17号,博孚利涌金17号私募证券投资基金,SXN116,2,"{'company': ['中波', '场外衍生品产品']}","{'company': {'strategy_one': '期货策略', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}}"
太和致远向日葵二号A类,太和致远向日葵二号私募证券投资基金A类份额,VX614A,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}}"
全集非凡5号,全集非凡5号私募证券投资基金,SXJ976,2,{'company': ['低波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
翔云50二号A类,翔云50二号私募证券投资基金A类份额,VB166A,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '另类多头', 'strategy_three': ''}}"
博孚利-鑫科均衡8号,博孚利-鑫科均衡8号私募证券投资基金,SXD912,2,{'company': ['指增FOF']},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享61号B类,博孚利尊享61号私募证券投资基金B类份额,XJ733B,2,{'company': ['定制型FOF']},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享59号B类,博孚利尊享59号私募证券投资基金B类,XJ481B,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享58号B类,博孚利尊享58号私募证券投资基金B类,XJ474B,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
碳硅1号A,碳硅1号私募证券投资基金A类份额,XJ836A,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}}"
量和中证1000指数增强10号,量和中证1000指数增强10号私募证券投资基金,SXK456,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': ''}}"
全集登峰2号,全集登峰2号私募证券投资基金,SXK188,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
翔云50三号,翔云50三号私募证券投资基金,SXJ593,2,{'company': ['低波']},"{'company': {'strategy_one': '股票多头', 'strategy_two': '另类多头', 'strategy_three': '择时择股'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': ''}}"
展旗致新多策略1号,展旗致新多策略1号私募证券投资基金,SXH082,2,{'company': ['中波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '能化'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '能化'}}"
碳硅1号,碳硅1号私募证券投资基金,SXJ836,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}}"
瞰点瞰山一号,瞰点瞰山一号私募证券投资基金,SXH972,2,{'company': ['中波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票多空', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票多空', 'strategy_three': '场内券'}}"
粤财信托·随鑫益1号,粤财信托·随鑫益1号集合资金信托计划,ZXD32G201801010004084,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
平安信托·中金财富全天候金选FOF1号,平安信托·中金财富全天候金选FOF1号集合资金信托计划,ZXD31P202011010021333,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
厦门信托-智远2号中证500雪球投资,厦门信托-智远2号中证500雪球投资集合资金信托计划,ZXD33X202105010015725,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}}"
浙商期货景上源6号,浙商期货景上源6号集合资产管理计划,SXJ290,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': ''}}"
国投安信卿云问道,国投安信卿云问道集合资产管理计划,SXF416,2,{'company': ['高波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '量价,中频'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '中频,量价'}}"
国优卷柏牛牛12号,国优卷柏牛牛12号私募证券投资基金,SXK059,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '期权多策略'}}"
璞成大成一号,璞成大成一号私募证券投资基金,SXJ170,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': ''}}"
汇富联合日盈20号,汇富联合日盈20号私募证券投资基金,SXJ863,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '', 'strategy_three': ''}}"
安布雷拉天府,安布雷拉天府私募证券投资基金,SXH767,2,{'company': ['中波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '交易型'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '交易型'}}"
照月海舟CTA平衡1号,照月海舟CTA平衡1号私募证券投资基金,SXE353,2,{'company': ['高波']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '时序,基本面'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '时序,基本面'}}"
博孚利瑞盈9号,博孚利瑞盈9号私募证券投资基金,SGX509,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合'}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
岚湖丰泽1号,岚湖丰泽1号私募证券投资基金,SXF080,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': ''}}"
博孚利瑞盈5号,博孚利瑞盈5号私募证券投资基金,SXK256,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
瀚鑫瑞盈,瀚鑫瑞盈私募证券投资基金,SXJ122,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': ''}}"
托特中证500指数增强3号A类,托特中证500指数增强3号私募证券投资基金A类份额,VL637A,2,{'company': ['高波']},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '500指增'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '500指增', 'strategy_three': ''}}"
博孚利好大哥一号FOF,博孚利好大哥一号FOF私募证券投资基金,SXK969,2,{'company': ['定制型FOF']},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
古曲高新一号,古曲高新一号私募证券投资基金,SXC364,2,{'company': None},"{'company': {'strategy_one': '套利策略', 'strategy_two': '期货套利', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '期货套利', 'strategy_three': ''}}"
博孚利青璜3号B类,博孚利青璜3号私募证券投资基金B类份额,XG593B,2,"{'company': ['低波', '中波FOF']}","{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利青璜3号A类,博孚利青璜3号私募证券投资基金A类份额,XG593A,2,{'company': ['中波FOF']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
跃威恒鑫一号A类,跃威恒鑫一号私募证券投资基金A类份额,GZ942A,2,{'company': None},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '金融卖波'}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '定价卖波'}}"
博孚利尊享61号,博孚利尊享61号私募证券投资基金,SXJ733,2,{'company': ['定制型FOF']},"{'company': {'strategy_one': '多资产策略', 'strategy_two': 'FOF', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利青璜3号,博孚利青璜3号私募证券投资基金,SXG593,2,{'company': ['中波FOF']},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合'}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
桐石承运1号,桐石承运1号私募证券投资基金,SXE355,2,{'company': ['高波']},"{'company': {'strategy_one': '股票多头', 'strategy_two': '另类多头', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '另类多头', 'strategy_three': ''}}"
君拙股票量化一号,君拙股票量化一号私募证券投资基金,SED820,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '另类多头', 'strategy_three': '择时择股,持仓分散'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '另类多头', 'strategy_three': '择时择股,持仓分散'}}"
博孚利涌金8号,博孚利涌金8号私募证券投资基金,SXJ483,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享59号,博孚利尊享59号私募证券投资基金,SXJ481,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享58号,博孚利尊享58号私募证券投资基金,SXJ474,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
博孚利尊享57号,博孚利尊享57号私募证券投资基金,SXJ142,2,{'company': ['场外衍生品产品']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
大椿聚配专享一号,大椿聚配专享一号私募证券投资子基金,SXH544,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': ''}}"
博孚利九溪FOF1号,博孚利九溪FOF1号私募证券投资基金,SXH289,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
睿量原子1号,睿量原子1号私募证券投资基金,SXG468,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '量化选股', 'strategy_three': ''}}"
全集登峰1号,全集登峰1号私募证券投资基金,SXF478,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
盖亚青柯抗逆聚配1号,盖亚青柯抗逆聚配1号私募证券投资基金,SXD540,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
跃威安鑫一号,跃威安鑫一号私募证券投资基金,SXA160,2,{'company': None},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场外期权', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '定价卖波'}}"
数为对冲套利5号,数为对冲套利5号私募证券投资基金,SXG159,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '', 'strategy_three': ''}}"
君宜共昇,君宜共昇私募证券投资基金,SXF306,2,{'company': ['低波']},"{'company': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '金融卖波'}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '中性波动率交易'}}"
璞真龙图腾,璞真龙图腾私募证券投资基金,SXE786,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': ''}}"
极量巨浪FOFA类,极量巨浪FOF私募证券投资基金A类,VG299A,2,{'company': ['低波']},"{'company': {'strategy_one': '套利策略', 'strategy_two': '期货套利', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
极量巨浪FOF,极量巨浪FOF私募证券投资基金,SVG299,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
蒙玺国证2000指数量化3号B类,蒙玺国证2000指数量化3号私募证券投资基金B类份额,TX510B,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '2000指增'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '2000指增', 'strategy_three': ''}}"
盖亚青柯中证500指数增强1号B类,盖亚青柯中证500指数增强1号私募证券投资基金B类,TE437B,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '500指增,量价,中频'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '500指增', 'strategy_three': ''}}"
博孚利锡泰稳强FOF1号,博孚利锡泰稳强FOF1号私募证券投资基金,SXF368,2,{'company': ['低波FOF']},"{'company': {'strategy_one': '多资产策略', 'strategy_two': 'FOF', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
