seq,product_name,manager,team_latest_nav,team_latest_nav_date,team_l1,team_l2,team_l3,match_method,in_outside_excel,beian_hao,db_product_name,in_database,has_nav,db_latest_nav,db_latest_nav_date,vendor_nav_points,email_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,name_code_count,missing_reason
1128,融昊稳健二号,上海融昊投资,1.2511,2025-11-14,期货策略,主观期货,交易型,outside_exact_name,Y,SEQ122,融昊稳健二号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1143,众智长江二号,广州众智,1.0360,2024-06-14,期货策略,主观期货,农产,outside_exact_name,Y,SX9317,众智长江二号私募投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1146,静观悟道帅猫策略一号,厦门静观悟道投资,1.0380,2026-08-31,期货策略,主观期货,交易型,outside_exact_name,Y,SY0710,静观悟道帅猫策略一号私募投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1150,永隆精选A基金,上海呈瑞投资,1.6870,2024-08-23,期货策略,量化期货,时序,db_exact_name,N,SH4933,永隆精选A基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1160,申毅格物57号,上海申毅投资,1.2963,2024-07-26,期货策略,量化期货,"时序,机器学习",outside_exact_name,Y,SN3627,申毅格物57号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1165,九招盛世一号,武汉九招,-,-,期货策略,量化期货,中高频,db_exact_name,N,SZZ107,九招盛世一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1166,中融鼎金锋1号,中融鼎投资,1.0853,2024-06-07,期货策略,主观期货,有色,outside_exact_name,Y,SZM990,中融鼎金锋1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1189,佳禾芸徽红盈专享1号,珠海佳禾,1.0342,2024-07-19,期货策略,量化期货,中高频,outside_exact_name,Y,STU254,佳禾芸徽红盈专享1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1202,星阔江月27号,青岛星阔投资,-,-,股票多头,指数增强,"300指增,中频,量价",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
1204,闿华星辰1号,上海闿华资管,1.4580,2024-07-08,期货策略,主观期货,多板块,outside_exact_name,Y,SNS265,闿华星辰1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1214,超量子沪深300增强1号,深圳超量子,-,-,股票多头,指数增强,"300指增,中频,量价",db_exact_name,N,SLL381,超量子沪深300增强1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1225,澜成可转债量化精选,上海澜成,1.9056,2025-09-05,股票多头,可转债多头,量化,db_exact_name,N,SJC879,澜成可转债量化精选私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1228,天戈超线性3号,上海天戈投资,-,-,股票多头,指数增强,500指增,db_exact_name,N,SGY113,天戈超线性3号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1276,皓晨稳进1号,上海皓晨投资,2.4983,2024-07-05,期货策略,量化期货,中高频,outside_exact_name,Y,ST7585,皓晨稳进1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1300,万维-偲科聆中证500指增1号,深圳万维,-,-,股票多头,指数增强,"500指增,中频,量价",db_exact_name,N,SXY527,万维-偲科聆中证500指增1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1301,灵均优优中证500指数增强1号,宁波灵均投资,-,-,股票多头,指数增强,"500指增,低频,量价",db_exact_name,N,SXP813,灵均优优中证500指数增强1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1303,玉数涵瑞中证1000指数增强一号,上海玉数投资,1.0986,2026-09-11,股票多头,指数增强,"1000指增,量价",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
1319,益清证金中证500指数增强一号量化,深圳证金投资,1.9331,2026-09-11,股票多头,指数增强,"500指增,中频,量价",db_exact_name,N,SVH455,益清证金中证500指数增强一号量化私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1334,外贸信托-金锝上达中证500指数增强1期,外贸信托,2.5463,2026-08-21,股票多头,指数增强,"500指增,低频,量价",db_exact_name,N,ZXD33Z202006010018387,外贸信托-金锝上达中证500指数增强1期集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1355,睿凝乾德中证500量化指数增强,北京睿凝,-,-,股票多头,指数增强,500指增,db_exact_name,N,SQS143,睿凝乾德中证500量化指数增强私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1379,喜岳金选中证500指数增强1号,上海喜岳投资,2.0030,2026-04-30,股票多头,指数增强,"500指增,基本面",db_exact_name,N,SLA060,喜岳金选中证500指数增强1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1383,天演中证500指数增强3号,上海天演,-,-,股票多头,指数增强,"500指增,低频,量价",db_exact_name,N,SJU836,天演中证500指数增强3号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1388,垒昂金鹿指数增强2号,-,-,-,股票多头,指数增强,"500指增,中频,量价",db_exact_name,N,SXX928,垒昂金鹿指数增强2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1405,进化论达尔文明德一号,海南进化论,2.6242,2024-07-26,股票对冲,股票市场中性,低频,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
1414,平安财富淡水泉成长一期集合资金信托,-,9.5061,2026-08-21,股票多头,主观多头,"价值成长,大盘",db_exact_name,N,SE1261,平安财富淡水泉成长一期集合资金信托,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1418,九坤量化混合私募2号,北京九坤投资,-,-,股票对冲,股票市场中性,"500中性,中频",db_exact_name,N,S84924,九坤量化混合私募2号,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1419,牟合资产方盖8号,北京牟合资管,1.5510,2024-05-24,股票对冲,股票市场中性,"量价,500中性,中频",db_exact_name,N,SD8682,牟合资产方盖8号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1423,丰润京钛一期,北京丰润恒道,1.7387,2024-07-19,股票对冲,股票市场中性,"另类因子,500中性,中频",db_exact_name,N,SR0756,丰润京钛一期私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1441,磐松量化选股1号,上海磐松,1.1389,2026-09-11,股票多头,另类多头,量化,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
1513,盖亚青柯市场中性1号,海南盖亚青柯,-,-,股票对冲,股票市场中性,"量价,500中性,中频",db_exact_name,N,SSX804,盖亚青柯市场中性1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1524,亘禹量化一期,海南亘禹,1.1798,2024-03-08,股票对冲,股票市场中性,"量价,500中性,中频",db_exact_name,N,SSN490,亘禹量化一期私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1527,明世伙伴胜杯3号,珠海明世伙伴,0.8593,2025-04-11,股票多头,另类多头,"择时择股,持仓分散",db_exact_name,N,SQX971,明世伙伴胜杯3号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1532,时间序列泰期待红利灵活2号,上海时间序列,1.3500,2026-09-10,股票对冲,股票市场中性,"基本面,500中性,低频",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
1535,正瀛顺享对冲6号,上海正瀛资管,1.4580,2024-03-04,股票对冲,股票市场中性,"量价,500中性,低频",db_exact_name,N,SNF995,正瀛顺享对冲6号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1541,外贸信托-隆新6号(慎知资产),-,1.5221,2026-08-28,股票多头,主观多头,"价值成长,大盘,其他",db_exact_name,N,SNT325,外贸信托-隆新6号（慎知资产）集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1553,锐天锐本1号,上海锐天投资,1.3010,2024-07-19,股票对冲,股票市场中性,"基本面,500中性,低频",db_exact_name,N,SNB286,锐天锐本1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1557,稳博创新一号,上海稳博投资,0.9630,2026-02-13,股票对冲,股票市场中性,"500中性,中频",db_exact_name,N,SLJ648,稳博创新一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1558,天演新动力中性1号,北京华软新动力,1.3090,2025-06-13,股票对冲,股票市场中性,"量价,500中性,低频",db_exact_name,N,SLC661,天演新动力中性1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1591,品赋如火,上海品赋投资,1.1923,2026-09-10,股票对冲,股票市场中性,-,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
