日期,单位净值,累计净值,复权净值,涨跌幅,上证指数,沪深300
2026-02-23,1.0121,1.0126,1.0126,+1.11%,3360.2527,3890.3129
2026-02-24,1.0099,1.0103,1.0103,-0.23%,3356.426,3899.0889
2026-02-25,1.0093,1.0097,1.0097,-0.06%,3336.1243,3872.5423
2026-02-26,1.004,1.0042,1.0042,-0.54%,3325.1575,3858.7984
2026-02-27,1.0096,1.01,1.01,+0.58%,3325.9974,3881.3533
2026-03-02,1.0141,1.0147,1.0147,+0.46%,3344.7624,3899.07
2026-03-03,1.0163,1.017,1.017,+0.23%,3361.1279,3912.5154
2026-03-04,1.014,1.0146,1.0146,-0.24%,3346.3847,3879.366
2026-03-05,1.0136,1.0142,1.0142,-0.04%,3350.892,3880.2833
2026-03-06,1.0158,1.0164,1.0164,+0.22%,3343.0776,3882.0295
2026-03-09,1.0159,1.0166,1.0166,+0.01%,3351.9056,3896.9639
2026-03-10,1.0165,1.0172,1.0172,+0.07%,3387.3677,3940.8047
2026-03-11,1.0144,1.015,1.015,-0.22%,3383.8299,3937.1747
2026-03-12,1.0181,1.0188,1.0188,+0.38%,3408.6557,3963.7122
2026-03-13,1.0232,1.0241,1.0241,+0.52%,3409.1249,3957.9384
2026-03-16,1.0253,1.0263,1.0263,+0.21%,3417.3636,3972.6009
2026-03-17,1.028,1.0291,1.0291,+0.28%,3428.0535,3993.2375
2026-03-18,1.0233,1.0243,1.0243,-0.47%,3387.323,3930.2461
2026-03-19,1.0261,1.0272,1.0272,+0.28%,3388.4922,3928.9882
2026-03-20,1.0253,1.0263,1.0263,-0.08%,3380.7787,3909.5925
2026-03-23,1.022,1.0229,1.0229,-0.33%,3376.3701,3885.469
2026-03-24,1.0244,1.0254,1.0254,+0.25%,3377.8914,3868.5736
2026-03-25,1.0322,1.0335,1.0335,+0.79%,3421.5112,3911.781
2026-03-26,1.0334,1.0348,1.0348,+0.12%,3411.0139,3888.5969
2026-03-27,1.0383,1.0399,1.0399,+0.50%,3440.9137,3919.1106
2026-03-30,1.0285,1.0296,1.0296,-0.99%,3401.914,3868.6104
2026-03-31,1.0238,1.0248,1.0248,-0.47%,3391.8176,3862.0664
2026-04-01,1.0295,1.0307,1.0307,+0.58%,3397.5066,3879.5351
2026-04-02,1.0371,1.0387,1.0387,+0.77%,3409.344,3896.4391
2026-04-03,1.04,1.0417,1.0417,+0.29%,3436.082,3907.7135
2026-04-06,1.0427,1.0445,1.0445,+0.27%,3450.3538,3943.5395
2026-04-07,1.0459,1.0478,1.0478,+0.31%,3447.1829,3930.4025
2026-04-08,1.0413,1.043,1.043,-0.45%,3434.2221,3926.129
2026-04-09,1.0428,1.0446,1.0446,+0.15%,3466.3718,3958.3104
2026-04-10,1.0444,1.0462,1.0462,+0.15%,3467.2651,3952.0097
2026-04-13,1.0384,1.04,1.04,-0.59%,3445.9684,3914.5364
2026-04-14,1.0343,1.0357,1.0357,-0.42%,3421.1554,3895.8155
2026-04-15,1.0305,1.0318,1.0318,-0.38%,3386.5255,3885.1366
2026-04-16,1.034,1.0354,1.0354,+0.35%,3400.2197,3902.7332
2026-04-17,1.0389,1.0406,1.0406,+0.50%,3396.9558,3909.7676
2026-04-20,1.0425,1.0443,1.0443,+0.36%,3412.7976,3942.3721
2026-04-21,1.0431,1.0449,1.0449,+0.05%,3412.5257,3922.2254
2026-04-22,1.0384,1.0401,1.0401,-0.46%,3422.0332,3931.3082
2026-04-23,1.0414,1.0431,1.0431,+0.29%,3435.0067,3952.4555
2026-04-24,1.0382,1.0398,1.0398,-0.31%,3420.5761,3946.1849
2026-04-27,1.0372,1.0387,1.0387,-0.10%,3434.0025,3954.9059
2026-04-28,1.0325,1.0338,1.0338,-0.47%,3408.6482,3920.5657
2026-04-29,1.0306,1.0318,1.0318,-0.19%,3395.2221,3892.021
2026-04-30,1.032,1.0334,1.0334,+0.15%,3388.0254,3871.2665
2026-05-01,1.0239,1.0249,1.0249,-0.82%,3364.8374,3830.232
2026-05-04,1.0265,1.0276,1.0276,+0.26%,3382.7213,3844.2028
2026-05-05,1.0237,1.0247,1.0247,-0.28%,3355.6033,3846.7566
2026-05-06,1.0233,1.0243,1.0243,-0.04%,3358.8569,3857.5709
2026-05-07,1.0285,1.0297,1.0297,+0.53%,3372.9388,3865.7665
2026-05-08,1.0323,1.0337,1.0337,+0.38%,3388.4769,3884.0278
2026-05-11,1.0392,1.0409,1.0409,+0.70%,3418.0747,3902.9386
2026-05-12,1.0389,1.0405,1.0405,-0.04%,3402.2164,3898.399
2026-05-13,1.0357,1.0372,1.0372,-0.32%,3387.7461,3887.4465
2026-05-14,1.0352,1.0367,1.0367,-0.05%,3390.5123,3891.2543
2026-05-15,1.0295,1.0307,1.0307,-0.58%,3335.6252,3835.2518
2026-05-18,1.0245,1.0255,1.0255,-0.50%,3308.3344,3799.495
2026-05-19,1.0166,1.0173,1.0173,-0.80%,3277.1797,3749.5334
2026-05-20,1.0133,1.0139,1.0139,-0.34%,3257.852,3719.7683
2026-05-21,1.016,1.0167,1.0167,+0.28%,3265.2435,3754.3176
2026-05-22,1.0198,1.0206,1.0206,+0.38%,3248.1316,3729.147
2026-05-25,1.0239,1.0248,1.0248,+0.42%,3246.2523,3730.2965
2026-05-26,1.0273,1.0284,1.0284,+0.35%,3281.8302,3772.057
2026-05-27,1.0255,1.0266,1.0266,-0.18%,3275.0228,3766.8272
2026-05-28,1.0249,1.026,1.026,-0.06%,3296.6743,3790.3118
2026-05-29,1.02,1.0208,1.0208,-0.50%,3267.6094,3760.7389
2026-06-01,1.0205,1.0214,1.0214,+0.05%,3262.2166,3748.95
2026-06-02,1.0204,1.0213,1.0213,-0.01%,3237.6718,3724.1469
2026-06-03,1.0176,1.0183,1.0183,-0.30%,3232.3601,3707.7777
2026-06-04,1.0196,1.0204,1.0204,+0.21%,3261.0621,3739.931
2026-06-05,1.0072,1.0075,1.0075,-1.27%,3210.6551,3696.5935
2026-06-08,1.009,1.0094,1.0094,+0.18%,3221.6791,3713.8395
2026-06-09,1.0075,1.0079,1.0079,-0.15%,3238.1019,3719.806
2026-06-10,1.0042,1.0044,1.0044,-0.34%,3218.9854,3706.3105
2026-06-11,0.9966,0.9964,0.9964,-0.79%,3177.8799,3660.5967
2026-06-12,0.9971,0.9969,0.9969,+0.05%,3181.805,3671.3159
2026-06-15,0.9907,0.9903,0.9903,-0.66%,3174.7462,3641.496
2026-06-16,0.9882,0.9877,0.9877,-0.27%,3181.4693,3646.7989
2026-06-17,0.9944,0.9942,0.9942,+0.65%,3191.308,3632.487
2026-06-18,0.9977,0.9976,0.9976,+0.35%,3237.8695,3669.5403
2026-06-19,0.9943,0.9941,0.9941,-0.36%,3238.0677,3674.3137
2026-06-22,0.9956,0.9955,0.9955,+0.14%,3216.4073,3651.535
2026-06-23,1.0046,1.0048,1.0048,+0.94%,3236.7659,3652.16
2026-06-24,1.0028,1.0029,1.0029,-0.19%,3241.895,3647.7207
2026-06-25,1.0077,1.008,1.008,+0.51%,3264.4556,3665.8365
2026-06-26,1.0124,1.0129,1.0129,+0.49%,3297.2552,3687.7178
2026-06-29,1.019,1.0198,1.0198,+0.68%,3304.3689,3719.226
2026-06-30,1.0227,1.0236,1.0236,+0.38%,3344.0272,3768.7066
