备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有平台策略,现有协会策略,同系列已分类产品,是否接受,备注
VT557A,慧衍天枢1号A类,上海慧衍私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SB2635,嘉鸿复利3号,上海嘉鸿私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
ASE95B,交睿宏盈1号私募证券投资基金B类,上海交睿私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
004373,金鹰增益货币B,金鹰基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SAVW72,金舆基石一号,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
AVW72A,金舆基石一号A类,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SCP742,金舆木盛那平江1号,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SCN504,金舆守安一号,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SCQ403,金舆锡泰一号,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SJ5938,金舆中国互联网,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
C41303,金舆中国互联网A类,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
C41304,金舆中国互联网B类,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SCJ536,金舆追风1号,上海金舆资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SADR37,均成正选1号,广东横琴均成私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
T07895,量锐28号B类,宁波金戈量锐资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
T07896,量锐28号C类,宁波金戈量锐资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBUT29,六妙星豪鑫多策略8号,六妙星（北京）私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SEG576,铭泓泰德日立私募证券投资基金,上海铭泓私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SET723,墨雪顺遂二号,上海墨雪私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBGD35,奇盾抱朴专享1号,上海奇盾世家私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
STD711,乾行天合稳健,厦门市乾行资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SXR596,乾行尊享五号,厦门市乾行资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBPM08,青琰合信十二号私募证券投资基金,上海青琰私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBNX55,荣熙共赢,上海荣熙私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SAGE52,睿富2号,海南睿富私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
ASP78A,睿量原子8号（A类份额,上海睿量私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
ARL06A,润洲笃行致远一号A类,杭州润洲私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBSA20,尚艺全周期中波版省心享1号,北京尚艺私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
W4484B,社润泽润一号B类,成都社润投资咨询有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SAWK13,天源汇丽昊阳3号,深圳前海天源汇通投资管理中心（有限合伙）,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SAUM68,天源汇丽华彩1号,深圳前海天源汇通投资管理中心（有限合伙）,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SSL249,添橙睿行一号私募证券投资基金,上海添橙私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SAJK88,问境天启1号,问境私募基金管理(北京)有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SEM403,问境天启3号,问境私募基金管理(北京)有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SLS963,赢仕创鑫一号,上海赢仕投资管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SB0905,赢仕天府,上海赢仕投资管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBFP56,挚盟源飞一号,北京挚盟资本管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SB969A,铸锋太阿3号A类,铸锋资产管理（北京）有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBJD14,自然红启程1号私募证券投资基金,自然红（平潭）资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
